,player_id,player_name_comma,player_birthday,total_matches,total_points
0,1273,"TALLIS, Gorden",1973-07-27,17,16
0,13860,"TAMOU, James",1988-12-13,14,-
0,108,"TATE, Brent",1982-03-03,23,20
0,28726,"TAULAGI, Murray",1999-03-12,6+,8
0,3722,"TAYLOR, Dave",1988-07-08,8,-
0,243,"TAYLOR, Jason",1971-02-02,2,-
0,5649,"TE'O, Ben",1987-01-27,7,-
0,19474,"TEDESCO, James",1993-01-08,23+,32
0,422,"TEEVAN, Craig",1970-01-07,3,-
0,4306,"TESSMANN, Brad",1960-02-09,5,-
0,122,"THAIDAY, Sam",1985-06-12,29,12
0,1519,"THOMPSON, Alan",1953-10-10,6,-
0,119,"THORN, Brad",1975-02-03,11,4
0,125,"THURSTON, Johnathan",1983-04-25,37,220
0,553,"TIERNEY, Neil",1968-10-22,3,-
0,557,"TIMMINS, Shaun",1976-08-06,9,13
0,28598,"TO'O, Brian",1998-08-18,11+,24
0,141,"TONGA, Willie",1983-08-08,8,12
0,505,"TOOVEY, Geoff",1969-06-17,15,-
0,20586,"TRBOJEVIC, Jake",1994-02-18,18+,4
0,21487,"TRBOJEVIC, Tom",1996-10-02,10,36
0,980,"TREWHELLA, David",1962-06-09,2,4
0,898,"TRONC, Scott",1965-05-15,1,-
0,1250,"TUNKS, Peter",1958-08-30,9,4
0,849,"TUPOU, Anthony",1983-03-01,4,-
0,20005,"TUPOU, Daniel",1991-06-17,10,12
0,1423,"TUQIRI, Lote",1978-09-23,6,28
0,3180,"TURNER, Steve",1984-10-10,1,-
0,7853,"UATE, Akuila",1987-10-06,5,8
0,29912,"UTOIKAMANU, Stefano",2000-05-15,1,-
0,20287,"VAUGHAN, Paul",1991-04-23,6,4
0,1059,"VAUTIN, Paul",1959-07-21,21,7
0,773,"VELLA, Michael",1978-02-19,10,-
0,80,"VOWLES, Adrian",1971-05-30,1,-
0,759,"WAGON, Daniel",1976-04-30,3,-
